;Method;Time_Window;Driver;Impostors;Method_Parameters;PORC_FAR;Min_Time_Detection(s);Average_Time_Detection(s);Max_Time_Detection(s);Standard_deviation(s);%_FRR;Min_Time_Detection(s);Average_Time_Detection(s);Max_Time_Detection(s);Standard_deviation(s);Number_clusters
0;EE;3;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.75;3;1060.914634;7444;1501.403181;0;1449;1449;1449;;1
0;EE;3;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.59;3;530.6036585;4419;941.1496013;0.35;45;242.3333333;738;277.9414807;3
0;EE;3;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.15;3;321.6851852;2894;668.3812667;0.14;45;483.6666667;1301;708.4668894;5
0;EE;3;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};99;3;356.6666667;2864;726.4771785;0.14;45;483.6666667;1301;708.4668894;10
0;EE;3;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};96.99;3;120.4207574;2473;326.0861965;1.17;4;81.44444444;229;70.65177424;30
0;EE;5;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.7;5;1402.532258;11435;2088.991872;0;1449;1449;1449;;1
0;EE;5;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.65;5;1035.738095;8861;1600.638962;0.07;579;726;873;207.8893937;3
0;EE;5;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.01;5;482.4;2925;833.0188393;0.14;9;485;867;436.6554706;5
0;EE;5;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};98.42;5;346.404;3483;709.3727933;0.14;237;485;965;415.7691667;10
0;EE;5;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};93.89;5;104.192638;2508;322.200223;1.87;5;58.53846154;211;50.44460785;30
0;EE;10;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.49;11;1637.886792;13295;2454.743506;0.07;540;729;918;267.2863633;1
0;EE;10;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.46;10;1159.706667;13298;2117.229716;0.07;226;729;1232;711.3494219;3
0;EE;10;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.08;10;860.1782178;7421;1316.259096;0.14;285;488.6666667;641;183.4675266;5
0;EE;10;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};98.32;10;545.5534591;4671;943.3909525;1.32;14;80.1;206;56.06190188;10
0;EE;10;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};97.03;10;227.1165803;2648;536.9350386;1.94;12;57.72413793;184;49.69542703;30
0;EE;30;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};98.91;30;1838.297872;11345;2456.191563;0;1454;1454;1454;;1
0;EE;30;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};98.85;30;1078.148148;9499;1735.278156;0;1454;1454;1454;;3
0;EE;30;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};97.82;30;675.8692308;5628;1128.702139;0.42;61;231.7142857;682;229.6952432;5
0;EE;30;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};97.74;30;451.241206;5737;927.1022587;2.46;33;68.71428571;146;28.02684787;10
0;EE;30;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};21.07;30;37.1201255;254;13.54106537;45.05;30;31.23076923;47;1.848789328;30
0;EE;3;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};88.6;3;2006;14974;3171.864661;0.08;410;858.3333333;1338;464.7927854;1
0;EE;3;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};88.59;3;1951.675676;16780;3462.42095;0.12;184;644;1747;739.769784;3
0;EE;3;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};97.52;3;220.7575758;5560;618.271773;0.35;77;258.2;840;247.3040414;5
0;EE;3;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};91.38;3;119.9255151;3663;422.6468515;0.43;15;215.3333333;596;181.6611898;10
0;EE;3;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};91.33;3;69.85583942;2690;247.6501679;0.39;6;234.8181818;789;230.6316623;30
0;EE;5;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};88.57;5;2488.586207;16766;3870.142822;0;2572;2572;2572;;1
0;EE;5;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};97.64;5;261.0711974;7433;870.7790445;0.19;117;431.1666667;727;229.9890577;3
0;EE;5;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};91.73;5;297.8228346;7433;899.2710114;0.19;7;431.1666667;1177;420.5108401;5
0;EE;5;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};93.28;5;157.6133603;5837;494.9915506;0.12;64;645.25;1181;488.179185;10
0;EE;5;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};91.66;5;107.2880886;2689;300.5242624;0.43;13;217.0833333;644;217.3758615;30
0;EE;10;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};91.85;10;1970.763158;16731;3500.739709;0.12;12;648.75;1910;884.3692197;1
0;EE;10;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};87.7;10;297.1862348;5695;804.9246832;0.2;57;435.1666667;1327;466.8136316;3
0;EE;10;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};91.86;10;256.7142857;5695;742.8686098;0.2;111;435.1666667;1327;454.3603929;5
0;EE;10;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};89.4;10;228.8909091;4783;552.637242;0.31;12;292.7777778;761;281.0986383;10
0;EE;10;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};90.49;10;124.6629921;2922;349.4969343;1.41;10;81.17142857;267;70.22295825;30
0;EE;30;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.11;30;2599.516129;16809;4013.250004;0.04;290;1297.5;2305;1424.820164;1
0;EE;30;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};87.48;30;363.952381;8800;1055.036936;0.08;290;874.3333333;1586;657.3160072;3
0;EE;30;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};89.4;30;135.0265487;4683;465.3571674;0.04;661;1297.5;1934;900.1469325;5
0;EE;30;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};90.85;30;413.4684211;7500;998.5242956;1.77;30;84.4;272;58.59312712;10
0;EE;30;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};63.03;30;57.87635328;1086;78.11672321;9.46;30;39.5412844;100;9.93855047;30
0;EE;3;C;['A', 'B', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.83;3;1636.811321;15125;2639.471589;0.27;175;301;411;86.50722513;1
0;EE;3;C;['A', 'B', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};98.76;3;332.9459459;5018;761.7179055;0.47;31;188.5;410;129.8306589;3
0;EE;3;C;['A', 'B', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.09;3;314.7381818;3913;649.3097827;0.27;11;301;771;284.021126;5
0;EE;3;C;['A', 'B', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};98.62;3;172.8483034;3434;471.869928;0.27;129;301;683;220.9072203;10
0;EE;3;C;['A', 'B', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};96.83;3;100.0618436;2545;258.0173818;0.53;10;167.6666667;627;202.6209515;30
0;EE;5;C;['A', 'B', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.82;5;2223.410256;17905;3681.32689;0.2;230;377.5;638;181.4194036;1
0;EE;5;C;['A', 'B', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};98.48;5;393.9269406;8109;993.6416131;0.07;358;752;1146;557.2001436;3
0;EE;5;C;['A', 'B', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};98.51;5;330.0305344;5084;753.101342;0.27;130;302.6;534;169.5547109;5
0;EE;5;C;['A', 'B', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};97.87;5;296.6344828;4797;698.4452909;0.13;168;502.3333333;981;425.2838268;10
