;Method;Time_Window;Driver;Impostors;Method_Parameters;PORC_FAR;Min_Time_Detection_s;Average_Time_Detection_s;Max_Time_Detection_s;Standard_deviation_s;PORC_FRR;Min_Time_Detection_s;Average_Time_Detection_s;Max_Time_Detection_s;Standard_deviation_s;Number_clusters
0;IF;3;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 5};7.22;3;5.664918415;106;7.237508716;20.32;3;6.864978903;38;4.144467072;1
0;IF;3;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 15};20.8;3;7.54147536;1203;28.16723052;11.47;3;10.7739726;53;8.65011106;1
0;IF;3;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 25};19.78;3;8.033987386;1023;28.12789193;13.06;3;9.765432099;39;7.184821138;1
0;IF;3;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 50};23.38;3;9.20460177;849;24.97236249;13.75;3;9.473053892;33;6.935863122;1
0;IF;3;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 5};13.88;3;6.905805928;335;10.96809025;21.49;3;6.854700855;23;4.177941168;3
0;IF;3;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 15};12.19;3;6.969569288;249;11.26348314;15.27;3;8.663043478;43;6.303398639;3
0;IF;3;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 25};10.26;3;8.887432537;495;19.32869447;14.17;3;9.392857143;43;6.563403997;3
0;IF;3;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 50};10.5;3;9.217048145;528;21.83489156;13.75;3;9.428571429;41;6.949407788;3
0;IF;3;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 5};14.91;3;7.60293483;295;17.28120941;17;3;7.975124378;41;5.940907179;5
0;IF;3;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 15};13.9;3;8.430393199;331;19.66934782;14.58;3;9.062857143;41;6.920031132;5
