;Method;Time_Window;Driver;Impostors;Method_Parameters;PORC_FAR;Min_Time_Detection_s_FAR;Average_Time_Detection_s_FAR;Max_Time_Detection_s_FAR;Standard_deviation_s_FAR;PORC_FRR;Min_Time_Detection_s_FRR;Average_Time_Detection_s_FRR;Max_Time_Detection_s_FRR;Standard_deviation_s_FRR;Number_clusters
0;OCSVM;3;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'kernel': 'rbf', 'nu': 0.1};19.3;3;10.94305482;467;24.97838157;10.23;3;11.69402985;61;8.995594253;1
0;OCSVM;3;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'kernel': 'rbf', 'nu': 0.01};37.18;3;14.94162335;2319;80.43104743;1.8;8;54.62962963;209;44.8151315;1
0;OCSVM;3;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'kernel': 'rbf', 'nu': 0.001};51.46;3;18.31427531;2833;101.9661321;0.48;53;182;573;168.4017306;1
0;OCSVM;3;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'kernel': 'rbf', 'nu': 0.0001};53.3;3;18.86119186;2834;103.7440209;0.41;53;207.8571429;573;172.1321475;1
0;OCSVM;3;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'kernel': 'rbf', 'nu': 1e-05};49.99;3;17.76240493;2804;99.60757083;0.48;53;182;573;171.4217856;1
0;OCSVM;3;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'kernel': 'rbf', 'nu': 1e-06};50.78;3;16.85747899;2806;98.46480562;22.74;3;6.25095057;28;3.597835048;1
0;OCSVM;3;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'kernel': 'sigmoid', 'nu': 0.1};38.86;3;22.76734193;2841;115.2371522;9.95;3;12.02307692;46;10.27110449;1
0;OCSVM;3;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'kernel': 'sigmoid', 'nu': 0.01};61.56;3;33.68835009;2868;159.2879956;1.38;5;73.35;172;51.39452664;1
0;OCSVM;3;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'kernel': 'sigmoid', 'nu': 0.001};90.24;3;229.6985507;7124;771.5693209;0.41;67;207.8571429;611;192.0368268;1
0;OCSVM;3;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'kernel': 'sigmoid', 'nu': 0.0001};95.95;3;259.0092308;11578;1178.6935;0.07;543;725;907;257.3868684;1
0;OCSVM;3;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'kernel': 'sigmoid', 'nu': 1e-05};93.3;3;244.4447761;7124;900.431049;0.07;207;725;1243;732.5626253;1
0;OCSVM;3;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'kernel': 'sigmoid', 'nu': 1e-06};13.2;3;10.26690647;270;16.55955454;61.23;3;3.664688427;10;1.010524664;1
0;OCSVM;3;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'kernel': 'rbf', 'nu': 0.1};11.03;3;10.05620805;422;25.43118064;11.26;3;10.44736842;60;7.848557866;3
0;OCSVM;3;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'kernel': 'rbf', 'nu': 0.01};28.51;3;11.64063714;1819;57.3755284;1.66;7;58.92;207;45.5035896;3
0;OCSVM;3;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'kernel': 'rbf', 'nu': 0.001};42.33;3;15.18897638;2807;90.18721869;0.55;45;161.8888889;573;165.2584676;3
0;OCSVM;3;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'kernel': 'rbf', 'nu': 0.0001};43.29;3;15.47372184;2823;90.32248162;0.55;28;161.8888889;573;169.2006534;3
0;OCSVM;3;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'kernel': 'rbf', 'nu': 1e-05};32.1;3;11.38629493;1733;52.14422385;3.52;3;30.48979592;136;29.10335208;3
0;OCSVM;3;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'kernel': 'rbf', 'nu': 1e-06};0;0;0;0;0;100;0;0;0;0;3
